univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index,citation_ratio,Category,Predicted_Category
41,S,C,75,92,180,202,376,473,17,24,1.2579787234042554,High,High
41,D,B,232,254,213,215,206,209,37,92,1.0145631067961165,Low,Low
41,A,A,66,96,155,340,543,847,27,39,1.5598526703499078,High,High
41,Z,C,4,29,20,82,131,176,14,17,1.3435114503816794,High,High
41,C,G,13,5,9,29,42,50,8,7,1.1904761904761905,High,Low
41,Y,C,89,136,170,238,299,356,25,51,1.1906354515050168,High,Low
41,M,F,9,50,65,84,97,140,11,13,1.443298969072165,High,High
41,K,D,38,44,54,81,83,112,12,12,1.3493975903614457,High,Low
41,A,C,289,307,293,267,268,214,34,65,0.7985074626865671,Low,Low
41,M,G,288,295,329,351,315,327,47,154,1.0380952380952382,Low,High
42,C,K,220,223,210,218,283,310,22,34,1.0954063604240283,Medium,Low
42,Y,V,101,90,93,101,125,133,20,30,1.064,Medium,Low
42,E,A,944,970,904,864,738,663,49,110,0.8983739837398373,Low,Low
42,Y,B,382,351,598,581,671,687,34,60,1.0238450074515648,Low,High
42,V,S,211,222,197,186,190,123,43,133,0.6473684210526316,Low,Low
42,L,X,697,744,817,1227,1872,2530,51,130,1.3514957264957266,High,Low
42,D,A,155,128,110,109,88,69,24,40,0.7840909090909091,Low,Low
42,J,C,217,317,288,328,407,485,32,52,1.1916461916461916,High,Low
42,M,G,83,91,65,73,57,61,24,27,1.0701754385964912,Medium,Low
42,J,H,127,153,167,168,266,281,20,33,1.056390977443609,Medium,High
